PatentNo	Cited Patent No
5720641	5643032
5720642	5643032
5964629	5643032
5953580	5643032
6140760	5643032
6133056	5643032
6413169	5643108
6800038	5643108
6824475	5643108
6960142	5643108
6723005	5643108
6605007	5643108
6508722	5643108
6900242	5646164
6613697	5648128
6593077	5648128
6730370	5648128
6689645	5648128
6660615	5648128
6372520	5648128
6428661	5648128
6159853	5648128
6080683	5648128
6057566	5652440
5959317	5652440
6198116	5652440
6342411	5652440
6787821	5652440
6753822	5653476
6290583	5653476
6029695	5653476
6299851	5653953
6235259	5653953
6251359	5653953
6800269	5653953
6946111	5653953
6579510	5653953
6506356	5653953
6084460	5656964
6242343	5658806
6265325	5658806
6316296	5658806
6551934	5658806
6673661	5658806
6913993	5658806
6858478	5658806
6856360	5658806
6770332	5660894
6884672	5661051
6274413	5661051
6080607	5661051
6110767	5661051
5783499	5661051
6120889	5663238
5955196	5663238
6287656	5663238
6183848	5663238
6338976	5665423
6589848	5665423
6800278	5667913
6294293	5667913
6361901	5667913
6096453	5667913
6073265	5668481
5968194	5668481
6018815	5668481
6871310	5668481
6651206	5668481
6077760	5670414
6271544	5670414
6693099	5670508
6519737	5671238
6128760	5671238
6617399	5672431
6670430	5672431
6893736	5672431
6951907	5672431
6818318	5672431
6734109	5674777
6548378	5674777
6333216	5674777
6664345	5686541
6740192	5686541
6911237	5686541
6911828	5698085
6814848	5698085
6646427	5698085
6153065	5698085
6392420	5698085
6251359	5700440
6207127	5700440
6299851	5700440
5948382	5700440
6506356	5700440
6579510	5700440
6800269	5700440
6919296	5700440
6946111	5700440
6020604	5701020
5831297	5701020
6184546	5701020
6264575	5704859
6488603	5704859
5816968	5704859
6476726	5705047
6469631	5705047
6462669	5705047
6424269	5705047
6461008	5705047
6380865	5705047
6367949	5705047
6262426	5705047
6252254	5705047
6930615	5705047
6881977	5705047
6788217	5705047
6789930	5705047
6814459	5705047
6815828	5705047
6822578	5705047
6590343	5705047
6590502	5705047
6614359	5705047
6504487	5705047
6547410	5705047
6693551	5705047
6700502	5705047
6707389	5705047
6705745	5705047
6020966	5706088
6215051	5712112
6288302	5712112
6359196	5712112
6462257	5712112
6495477	5714398
6406963	5714398
6274467	5714398
6211048	5714398
6194297	5714398
5940698	5714398
6051486	5714398
6743682	5714398
6891189	5714772
6617607	5714772
6054747	5714772
6093938	5714772
6229158	5714772
6329676	5714772
6230057	5717201
6201234	5717201
6389317	5717201
6373600	5717201
5895415	5717201
6611716	5717201
6574022	5717201
6810380	5717201
6801491	5717201
6690728	5719642
6671319	5719642
5883679	5719642
5864372	5719642
5838392	5719642
6128047	5719642
6122317	5719642
6130912	5719642
6154492	5719642
6031582	5719642
6370194	5719642
6356590	5719642
6377970	5719642
6483876	5719642
6243803	5719642
5931760	5720686
5803858	5720686
5848949	5720686
5904633	5720686
5916053	5720686
6852055	5720686
6674449	5722420
6734834	5722420
6603494	5722420
6539560	5722420
6535021	5729165
6605982	5729165
6703883	5729165
6670822	5729165
5912577	5729165
5898333	5729165
5969564	5729165
6046613	5729165
6072353	5729165
6242973	5729165
6211720	5729165
6215329	5729165
6275127	5732636
6267876	5732636
6363857	5732636
6770146	5732636
6828849	5734290
6650172	5734290
6686793	5734290
6359947	5734290
6373324	5734290
6496055	5734290
6268762	5734290
6297690	5734290
6225853	5734290
6198342	5734290
6188590	5734290
6160440	5734290
5978283	5734290
5982223	5734290
6014018	5734290
5986935	5734290
5999040	5734290
5892267	5734290
5971543	5734459
6183086	5734459
6357877	5734459
6352939	5736454
6352893	5736454
6465267	5736454
6200836	5736454
6197654	5736454
5821172	5736454
6677218	5736454
6833399	5741382
6820406	5741382
6927234	5741813
6933396	5741813
6788232	5742246
6653967	5742246
6690949	5742246
6696843	5742246
6724332	5742246
6507305	5742246
5838272	5742246
5859603	5742246
6020836	5742246
6034629	5742246
6061008	5742246
6489907	5742246
6240324	5742503
6081751	5742503
6014613	5742503
6847851	5742503
6847954	5742503
6937908	5742503
6207089	5746956
6202276	5746956
6494821	5749819
5947878	5749819
6090026	5749819
6641511	5749819
6680067	5750534
6703398	5750534
6525062	5750534
6007841	5750534
6438023	5751174
6400206	5751174
6563357	5751174
6842059	5751174
6762957	5751174
6601470	5752905
6422099	5752905
6489907	5757301
6407689	5757301
6157331	5757301
6232901	5757301
6061008	5757301
6611223	5757301
6515540	5757301
6498572	5757301
6680683	5757301
6724269	5757301
6661298	5757301
6650268	5757301
6621435	5757301
6630897	5757301
6633203	5757301
6844836	5757301
6911928	5757301
6907090	5757301
6634971	5759124
6050916	5759124
6045472	5759124
